,serial,star_name,distance,mass,radius
191,16.0,CFBDS J005910.90–011401.3,30.0,23,
192,,,,,
193,203.0,WISE 0148-7202,30.0,,
194,,,,,
195,310.0,WISE 1804+3117,30.0,,
196,,,,,
197,9.0,2MASS J00345157+0523050,31.0,42,0.94
198,,,,,
199,116.0,2MASSW J1155395-372735 [de],31.0,64,1.0
200,,,,,
201,257.0,WISE 0811-8051,32.0,,
202,,,,,
203,175.0,2MASS J21392676+0220226,32.1,46,0.96
204,,,,,
205,295.0,WISE 1614+1739,32.6,,
206,,,,,
207,274.0,WISE 1150+6302,32.9,,
208,,,,,
209,280.0,WISE 1318-1758,32.9,,
210,,,,,
211,282.0,WISE 1322-2340,33.9,,
212,,,,,
213,13.0,2MASS J00501994-3322402 [de],34.0,40,0.94
214,,,,,
215,52.0,2MASS J04351612-1606574,34.0,100,1.26
216,,,,,
217,65.0,2MASS J05591914-1404488 [de],34.0,,
218,,,,,
219,149.0,2MASSW J1515008+484742 [de],34.0,57,0.99
220,,,,,
221,275.0,WISE 1217+1626A,34.2,12,
222,,,,,
223,276.0,WISE 1217+1626B,34.2,6,
224,,,,,
225,321.0,WISE 2030+0749,34.2,,
226,,,,,
227,103.0,2MASS J1047538+212423 [de],34.4,42,0.94
228,,,,,
229,66.0,LSR 0602+3910 [de],34.6,28,1.41
230,,,,,
231,252.0,WISE 0734-7157,34.9,,
232,,,,,
233,29.0,2MASS J02431371−2453298,35.0,33,0.99
234,,,,,
235,85.0,2MASS J08251968+2115521 [de],35.0,52,0.98
236,,,,,
237,181.0,2MASS J22282889-4310262,35.0,42,0.94
238,,,,,
239,142.0,TVLM 513-46546,35.1,75,1.05
240,,,,,
241,229.0,WISE 0458+6434A,35.9,15,4.2
242,,,,,
243,230.0,WISE 0458+6434B,35.9,10,3.8
244,,,,,
245,338.0,WISE 2313-8037,35.9,,
246,,,,,
247,120.0,2MASSI J1217110-031113 [de],36.0,42,0.94
248,,,,,
249,156.0,SDSSp J162414.37+002915.6 [de],36.0,43,0.94
250,,,,,
251,313.0,WISE 1828+2650,36.0,,
252,,,,,
253,219.0,WISE 0325+0831,36.5,,
254,,,,,
255,193.0,WISE 0038+2758,36.9,,
256,,,,,
257,152.0,2MASS J15462718-3325111 [de],37.0,44,0.94
258,,,,,
259,246.0,WISE 0627-1114,37.2,,
260,,,,,
261,320.0,WISE 1959-3338,37.2,,
262,,,,,
263,244.0,WISE 0623-0456,37.5,,
264,,,,,
265,340.0,WISE 2325-4105,37.5,,
266,,,,,
267,3.0,2MASS J00242463-0158201,37.7,79,1.09
268,,,,,
269,343.0,WISE 2340-0745,37.8,,
270,,,,,
271,126.0,SDSSp J125453.90-012247.4 [de],38.0,47,0.98
272,,,,,
273,135.0,DENIS-P J142527.97-365023.4 [de],38.0,21,1.32
274,,,,,
275,180.0,2MASSW J2224438-015852,38.0,61,0.99
276,,,,,
277,136.0,LHS 2924,38.5,76,1.06
278,,,,,
279,256.0,WISE 0759-4904,38.8,,
280,,,,,
281,45.0,Teide 1,380.0,55,3.78
282,,,,,
283,70.0,2MASS J06244595-4521548 [de],39.0,56,0.99
284,,,,,
285,164.0,2MASS J18283572-4849046,39.0,45,0.95
286,,,,,
287,255.0,WISE 0751-7634,39.1,,
288,,,,,
289,301.0,WISE 1653+4444,39.5,,
290,,,,,
291,12.0,WISEP J004701.06+680352.1 [fr],40.0,12,1.3
292,,,,,
293,62.0,2MASS J0523−1403,40.0,68,1.01
294,,,,,
295,73.0,2MASS J07003664+3157266 [de],40.0,,
296,,,,,
297,270.0,WISE 1051-2138,40.8,,
298,,,,,
299,293.0,WISE 1542+2230,41.1,,
300,,,,,
301,64.0,SDSS J053951.99-005902.0,41.62,61,1.01
302,,,,,
303,57.0,2MASS J04455387-3048204 [de],42.0,64,1.0
304,,,,,
305,262.0,WISE 0857+5604,42.1,,
306,,,,,
307,325.0,WISE 2019-1148,42.4,,
308,,,,,
309,327.0,WISE 2134-7137,42.7,,
310,,,,,
311,349.0,WISE 2359-7335,42.7,,
312,,,,,
313,86.0,SDSSp J083008.12+482847.4 [de],43.0,48,0.99
314,,,,,
315,90.0,2MASSI J0847287-153237 [de],43.0,64,1.0
316,,,,,
317,121.0,2MASS J12255432-2739466,43.0,,
318,,,,,
319,59.0,2MASS J05002100+0330501 [de],44.0,64,1.0
320,,,,,
321,154.0,2MASSW J1555157-095605 [de],44.0,71,1.03
322,,,,,
323,278.0,WISE 1311+0122,44.4,,
324,,,,,
325,319.0,WISE 1952+7240,44.4,,
326,,,,,
327,232.0,WISE 0513+0608,44.7,,
328,,,,,
329,336.0,WISE 2255-3118,44.7,,
330,,,,,
331,36.0,2MASS J03185403-3421292 [de],45.0,49,0.97
332,,,,,
333,332.0,WISE 2226+0440,45.0,,
334,,,,,
335,217.0,WISE 0323-6025,45.3,,
336,,,,,
337,123.0,2M 1237+6526,45.6,41,0.94
338,,,,,
339,221.0,WISE 0335+4310,45.7,,
340,,,,,
341,250.0,WISE 0723+3403,45.7,,
342,,,,,
343,97.0,2MASS J10073369-4555147,46.0,44,0.94
344,,,,,
345,145.0,2MASSW J1506544+132106 [de],46.0,69,1.02
346,,,,,
347,167.0,2MASS J18432213+4040209,46.0,96,1.22
348,,,,,
349,259.0,WISE 0819-0335,46.0,,
350,,,,,
351,329.0,WISE 2209-2734,46.0,,
